id	userid	hits	z	trials	created_at	updated_at
74	52946e67cb	1	-0.79	10	2023-05-16 16:27:34	2023-05-16 16:27:34
75	52946e67cb	3	0.79	10	2023-05-16 16:27:59	2023-05-16 16:27:59
76	52946e67cb	1	-0.90	11	2023-05-16 16:28:51	2023-05-16 16:28:51
77	52946e67cb	0	-1.58	10	2023-05-16 16:29:17	2023-05-16 16:29:17
78	52946e67cb	0	-1.58	10	2023-05-16 16:29:44	2023-05-16 16:29:44
79	52946e67cb	3	0.79	10	2023-05-16 16:30:43	2023-05-16 16:30:43
80	52946e67cb	0	-1.58	10	2023-05-16 16:31:07	2023-05-16 16:31:07
81	52946e67cb	1	-0.79	10	2023-05-16 16:31:36	2023-05-16 16:31:36
82	52946e67cb	2	0.00	10	2023-05-16 16:32:02	2023-05-16 16:32:02
83	52946e67cb	3	0.79	10	2023-05-16 16:32:27	2023-05-16 16:32:27
84	52946e67cb	2	0.00	10	2023-05-16 16:32:51	2023-05-16 16:32:51
85	52946e67cb	2	0.00	10	2023-05-16 16:33:20	2023-05-16 16:33:20
86	dc8b1e36ff	2	0.00	10	2023-05-16 17:56:16	2023-05-16 17:56:16
87	283f666c49	4	1.58	10	2023-05-16 21:42:41	2023-05-16 21:42:41
88	891172471b	0	-1.58	10	2023-05-16 22:51:24	2023-05-16 22:51:24
89	891172471b	1	-0.79	10	2023-05-16 22:53:43	2023-05-16 22:53:43
90	52946e67cb	3	0.79	10	2023-05-17 11:17:31	2023-05-17 11:17:31
91	52946e67cb	2	0.00	10	2023-05-17 11:18:35	2023-05-17 11:18:35
92	52946e67cb	2	0.00	10	2023-05-17 11:19:11	2023-05-17 11:19:11
93	52946e67cb	0	-1.58	10	2023-05-17 11:19:54	2023-05-17 11:19:54
94	52946e67cb	0	-1.58	10	2023-05-17 11:20:23	2023-05-17 11:20:23
95	52946e67cb	3	0.79	10	2023-05-17 11:20:53	2023-05-17 11:20:53
96	52946e67cb	1	-0.90	11	2023-05-17 11:21:25	2023-05-17 11:21:25
97	52946e67cb	2	0.00	10	2023-05-17 11:21:53	2023-05-17 11:21:53
98	52946e67cb	4	1.58	10	2023-05-17 11:22:39	2023-05-17 11:22:39
99	52946e67cb	1	-0.79	10	2023-05-17 11:23:10	2023-05-17 11:23:10
100	52946e67cb	3	0.79	10	2023-05-17 11:23:47	2023-05-17 11:23:47
101	52946e67cb	3	0.79	10	2023-05-17 11:24:17	2023-05-17 11:24:17
102	52946e67cb	3	0.79	10	2023-05-17 11:24:50	2023-05-17 11:24:50
103	52946e67cb	1	-0.79	10	2023-05-17 11:25:16	2023-05-17 11:25:16
104	52946e67cb	2	0.00	10	2023-05-17 11:25:42	2023-05-17 11:25:42
105	52946e67cb	5	2.37	10	2023-05-17 11:26:20	2023-05-17 11:26:20
106	52946e67cb	3	0.79	10	2023-05-17 11:26:48	2023-05-17 11:26:48
107	52946e67cb	3	0.79	10	2023-05-17 11:27:15	2023-05-17 11:27:15
108	52946e67cb	1	-0.79	10	2023-05-17 11:27:43	2023-05-17 11:27:43
