id	userid	hits	z	trials	created_at	updated_at
73	52946e67cb	29	1.13	10	2023-05-18 12:29:41	2023-05-18 12:29:41
74	52946e67cb	19	-1.70	10	2023-05-18 12:31:03	2023-05-18 12:31:03
75	52946e67cb	24	-0.28	10	2023-05-18 12:31:41	2023-05-18 12:31:41
76	52946e67cb	21	-1.13	10	2023-05-18 12:32:47	2023-05-18 12:32:47
77	fff8c30e58	22	-0.85	10	2023-05-18 14:51:11	2023-05-18 14:51:11
78	70060b0cc2	27	0.57	10	2023-05-18 19:37:26	2023-05-18 19:37:26
79	70060b0cc2	21	-1.13	10	2023-05-18 19:39:16	2023-05-18 19:39:16
80	52946e67cb	28	0.85	10	2023-05-19 16:50:38	2023-05-19 16:50:38
81	70060b0cc2	31	1.70	10	2023-05-19 19:50:34	2023-05-19 19:50:34
82	70060b0cc2	24	-0.28	10	2023-05-19 19:51:46	2023-05-19 19:51:46
83	70060b0cc2	23	-0.57	10	2023-05-19 19:54:06	2023-05-19 19:54:06
84	70060b0cc2	25	0.00	10	2023-05-19 19:55:38	2023-05-19 19:55:38
85	70060b0cc2	16	-2.55	10	2023-05-19 19:56:58	2023-05-19 19:56:58
86	70060b0cc2	21	-1.13	10	2023-05-19 19:58:26	2023-05-19 19:58:26
87	70060b0cc2	14	-3.11	10	2023-05-19 20:00:18	2023-05-19 20:00:18
88	70060b0cc2	18	-1.98	10	2023-05-19 20:02:03	2023-05-19 20:02:03
89	70060b0cc2	25	0.00	10	2023-05-19 20:04:11	2023-05-19 20:04:11
90	70060b0cc2	18	-1.98	10	2023-05-19 20:06:10	2023-05-19 20:06:10
91	fff8c30e58	19	-1.70	10	2023-05-19 22:52:44	2023-05-19 22:52:44
92	fff8c30e58	17	-2.26	10	2023-05-19 23:08:54	2023-05-19 23:08:54
93	fff8c30e58	20	-1.41	10	2023-05-21 14:09:51	2023-05-21 14:09:51
94	fff8c30e58	24	-0.28	10	2023-05-22 13:51:35	2023-05-22 13:51:35
95	fff8c30e58	18	-1.98	10	2023-05-22 13:53:03	2023-05-22 13:53:03
96	fff8c30e58	19	-1.70	10	2023-05-22 13:56:04	2023-05-22 13:56:04
97	fff8c30e58	22	-0.85	10	2023-05-22 14:13:58	2023-05-22 14:13:58
98	fff8c30e58	19	-1.70	10	2023-05-22 14:14:57	2023-05-22 14:14:57
99	fff8c30e58	21	-1.13	10	2023-05-23 01:31:37	2023-05-23 01:31:37
100	d40dfacc09	22	-0.85	10	2023-05-23 19:00:34	2023-05-23 19:00:34
101	d40dfacc09	27	0.57	10	2023-05-23 19:02:22	2023-05-23 19:02:22
102	d40dfacc09	31	1.70	10	2023-05-23 19:03:49	2023-05-23 19:03:49
103	77c18aa0ae	25	0.00	10	2023-05-23 19:07:39	2023-05-23 19:07:39
104	77c18aa0ae	22	-0.85	10	2023-05-23 19:20:22	2023-05-23 19:20:22
105	fff8c30e58	26	0.28	10	2023-05-23 22:17:26	2023-05-23 22:17:26
106	fff8c30e58	22	-0.85	10	2023-05-23 22:18:27	2023-05-23 22:18:27
107	fff8c30e58	23	-0.57	10	2023-05-23 22:19:14	2023-05-23 22:19:14
108	852c40a4c1	25	0.00	10	2023-05-24 00:11:45	2023-05-24 00:11:45
109	5db1799938	22	-0.85	10	2023-05-24 03:00:25	2023-05-24 03:00:25
110	53b90b6e5f	19	-1.70	10	2023-05-24 04:58:18	2023-05-24 04:58:18
111	3036d30a05	17	-2.26	10	2023-05-24 12:59:08	2023-05-24 12:59:08
112	fff8c30e58	22	-0.85	10	2023-05-24 14:00:02	2023-05-24 14:00:02
113	37b1202ffb	21	-1.13	10	2023-05-24 14:50:55	2023-05-24 14:50:55
114	e562fe06a4	15	-2.83	10	2023-05-24 19:47:15	2023-05-24 19:47:15
115	51f5819377	25	0.00	10	2023-05-24 20:48:01	2023-05-24 20:48:01
116	76b0cf44d8	24	-0.28	10	2023-05-24 23:22:55	2023-05-24 23:22:55
117	76b0cf44d8	21	-1.13	10	2023-05-24 23:44:16	2023-05-24 23:44:16
118	76b0cf44d8	20	-1.41	10	2023-05-24 23:46:07	2023-05-24 23:46:07
119	76b0cf44d8	22	-0.85	10	2023-05-24 23:50:41	2023-05-24 23:50:41
120	76b0cf44d8	20	-1.41	10	2023-05-24 23:52:04	2023-05-24 23:52:04
121	76b0cf44d8	14	-3.11	10	2023-05-24 23:53:13	2023-05-24 23:53:13
122	76b0cf44d8	20	-1.41	10	2023-05-24 23:55:39	2023-05-24 23:55:39
123	76b0cf44d8	27	0.57	10	2023-05-25 00:04:02	2023-05-25 00:04:02
124	03bbe154e3	18	-1.98	10	2023-05-25 01:14:24	2023-05-25 01:14:24
125	8c0e8dcf0f	21	-1.13	10	2023-05-25 03:41:33	2023-05-25 03:41:33
126	03bbe154e3	23	-0.57	10	2023-05-25 10:02:12	2023-05-25 10:02:12
127	bda1283c07	22	-0.85	10	2023-05-25 13:27:53	2023-05-25 13:27:53
128	fff8c30e58	12	-3.68	10	2023-05-25 14:26:58	2023-05-25 14:26:58
129	76b0cf44d8	19	-1.70	10	2023-05-25 22:32:29	2023-05-25 22:32:29
130	52946e67cb	27	0.57	10	2023-05-26 06:36:44	2023-05-26 06:36:44
