id	userid	z	trials	created_at	updated_at
78	52946e67cb	2.47	20	2023-05-17 10:03:34	2023-05-17 10:03:34
79	52946e67cb	2.57	20	2023-05-17 10:04:29	2023-05-17 10:04:29
80	52946e67cb	1.44	20	2023-05-17 10:05:16	2023-05-17 10:05:16
81	52946e67cb	1.00	20	2023-05-17 10:06:05	2023-05-17 10:06:05
82	52946e67cb	0.03	20	2023-05-17 10:06:52	2023-05-17 10:06:52
83	52946e67cb	1.25	20	2023-05-17 10:07:50	2023-05-17 10:07:50
84	52946e67cb	0.89	20	2023-05-17 10:08:39	2023-05-17 10:08:39
85	52946e67cb	1.88	20	2023-05-17 10:09:29	2023-05-17 10:09:29
86	52946e67cb	0.96	20	2023-05-17 10:10:20	2023-05-17 10:10:20
87	52946e67cb	0.64	20	2023-05-17 10:11:13	2023-05-17 10:11:13
88	52946e67cb	2.79	20	2023-05-17 10:12:06	2023-05-17 10:12:06
89	52946e67cb	1.25	20	2023-05-17 10:12:56	2023-05-17 10:12:56
90	52946e67cb	0.95	20	2023-05-17 10:13:41	2023-05-17 10:13:41
91	52946e67cb	0.86	20	2023-05-17 10:14:29	2023-05-17 10:14:29
92	52946e67cb	2.96	20	2023-05-17 10:15:15	2023-05-17 10:15:15
93	fff8c30e58	1.18	20	2023-05-17 15:12:47	2023-05-17 15:12:47
94	fff8c30e58	1.93	20	2023-05-17 15:13:23	2023-05-17 15:13:23
95	fff8c30e58	1.47	20	2023-05-17 15:14:06	2023-05-17 15:14:06
96	283f666c49	0.86	20	2023-05-17 20:50:54	2023-05-17 20:50:54
97	cfa64fd443	2.35	20	2023-05-17 21:30:05	2023-05-17 21:30:05
98	1ef651d180	0.55	20	2023-05-17 22:19:20	2023-05-17 22:19:20
99	00d06796e4	0.00	20	2023-05-17 22:44:27	2023-05-17 22:44:27
100	2e46b02c1c	1.80	20	2023-05-18 02:30:08	2023-05-18 02:30:08
101	9d88252a16	1.92	20	2023-05-18 11:40:14	2023-05-18 11:40:14
102	551ffb1b22	2.82	20	2023-05-18 12:56:16	2023-05-18 12:56:16
103	a38c0cc8ce	2.88	20	2023-05-18 13:16:44	2023-05-18 13:16:44
104	fff8c30e58	2.52	20	2023-05-18 14:55:13	2023-05-18 14:55:13
105	70060b0cc2	2.39	20	2023-05-18 19:24:08	2023-05-18 19:24:08
106	70060b0cc2	2.99	20	2023-05-18 19:25:09	2023-05-18 19:25:09
107	1ef651d180	-0.72	20	2023-05-18 19:25:24	2023-05-18 19:25:24
108	70060b0cc2	0.30	20	2023-05-18 19:49:25	2023-05-18 19:49:25
109	70060b0cc2	-0.75	20	2023-05-18 19:50:19	2023-05-18 19:50:19
110	70060b0cc2	0.73	20	2023-05-18 19:51:25	2023-05-18 19:51:25
111	70060b0cc2	-0.79	20	2023-05-18 21:00:54	2023-05-18 21:00:54
112	70060b0cc2	1.14	20	2023-05-18 21:02:12	2023-05-18 21:02:12
113	43f861d575	-0.90	20	2023-05-19 03:45:06	2023-05-19 03:45:06
114	70060b0cc2	0.96	20	2023-05-19 19:29:18	2023-05-19 19:29:18
115	70060b0cc2	-1.54	20	2023-05-19 19:30:19	2023-05-19 19:30:19
116	70060b0cc2	-1.30	20	2023-05-19 19:31:09	2023-05-19 19:31:09
117	70060b0cc2	-0.82	20	2023-05-19 19:31:58	2023-05-19 19:31:58
118	70060b0cc2	0.55	20	2023-05-19 19:32:59	2023-05-19 19:32:59
119	fff8c30e58	0.90	20	2023-05-19 22:55:09	2023-05-19 22:55:09
120	fff8c30e58	2.97	20	2023-05-19 22:56:08	2023-05-19 22:56:08
121	fff8c30e58	2.16	20	2023-05-21 14:12:17	2023-05-21 14:12:17
122	fff8c30e58	1.35	20	2023-05-21 14:13:13	2023-05-21 14:13:13
123	fff8c30e58	2.77	20	2023-05-21 14:13:45	2023-05-21 14:13:45
124	fff8c30e58	1.95	20	2023-05-22 14:08:51	2023-05-22 14:08:51
125	fff8c30e58	1.35	20	2023-05-22 14:12:48	2023-05-22 14:12:48
126	70060b0cc2	0.24	20	2023-05-22 19:49:53	2023-05-22 19:49:53
