id	userid	steps	z	trials	created_at	updated_at
311	77c18aa0ae	34	-0.28	10	2023-05-27 17:01:40	2023-05-27 17:01:40
312	77c18aa0ae	26	0.28	10	2023-05-27 17:02:19	2023-05-27 17:02:19
313	77c18aa0ae	29	0.07	10	2023-05-27 17:10:18	2023-05-27 17:10:18
314	77c18aa0ae	33	-0.21	10	2023-05-27 17:30:24	2023-05-27 17:30:24
315	77c18aa0ae	33	-0.21	10	2023-05-27 17:31:03	2023-05-27 17:31:03
316	d40dfacc09	29	0.07	10	2023-05-28 00:34:11	2023-05-28 00:34:11
317	d40dfacc09	31	-0.07	10	2023-05-28 00:35:21	2023-05-28 00:35:21
318	fff8c30e58	31	-0.07	10	2023-05-28 13:37:02	2023-05-28 13:37:02
319	fff8c30e58	27	0.21	10	2023-05-29 13:12:16	2023-05-29 13:12:16
320	d40dfacc09	24	0.42	10	2023-05-30 00:25:21	2023-05-30 00:25:21
321	d40dfacc09	27	0.21	10	2023-05-30 00:26:11	2023-05-30 00:26:11
322	fff8c30e58	34	-0.28	10	2023-05-30 13:53:57	2023-05-30 13:53:57
323	fff8c30e58	24	0.42	10	2023-05-30 13:54:18	2023-05-30 13:54:18
324	ae50750d2f	30	0.00	10	2023-05-30 18:43:47	2023-05-30 18:43:47
325	fff8c30e58	29	0.07	10	2023-05-31 14:42:46	2023-05-31 14:42:46
326	bdccdd5b23	34	-0.28	10	2023-05-31 18:53:35	2023-05-31 18:53:35
327	bdccdd5b23	30	0.00	10	2023-05-31 18:54:20	2023-05-31 18:54:20
328	bdccdd5b23	30	0.00	10	2023-05-31 18:54:51	2023-05-31 18:54:51
329	bdccdd5b23	28	0.14	10	2023-05-31 18:55:22	2023-05-31 18:55:22
330	bdccdd5b23	35	-0.35	10	2023-05-31 18:55:58	2023-05-31 18:55:58
331	bdccdd5b23	30	0.00	10	2023-05-31 18:56:32	2023-05-31 18:56:32
332	bdccdd5b23	30	0.00	10	2023-05-31 18:57:10	2023-05-31 18:57:10
333	fff8c30e58	34	-0.28	10	2023-06-01 14:58:54	2023-06-01 14:58:54
334	fff8c30e58	29	0.07	10	2023-06-01 14:59:20	2023-06-01 14:59:20
335	fff8c30e58	20	0.71	10	2023-06-01 15:00:28	2023-06-01 15:00:28
336	bd86b078cc	39	-0.64	10	2023-06-01 20:15:19	2023-06-01 20:15:19
337	0dd2d9fdd1	30	0.00	10	2023-06-01 23:51:00	2023-06-01 23:51:00
338	0dd2d9fdd1	23	0.49	10	2023-06-01 23:51:54	2023-06-01 23:51:54
339	62b3e910b4	28	0.14	10	2023-06-02 00:08:30	2023-06-02 00:08:30
340	d2dd8d1064	31	-0.07	10	2023-06-02 00:10:38	2023-06-02 00:10:38
341	07d6265486	28	0.14	10	2023-06-02 00:38:13	2023-06-02 00:38:13
342	07d6265486	29	0.07	10	2023-06-02 01:29:33	2023-06-02 01:29:33
343	2446d585aa	26	0.28	10	2023-06-02 01:45:29	2023-06-02 01:45:29
344	2446d585aa	29	0.07	10	2023-06-02 02:01:19	2023-06-02 02:01:19
345	2446d585aa	22	0.57	10	2023-06-02 02:03:05	2023-06-02 02:03:05
346	73edb425b7	24	0.42	10	2023-06-02 06:57:24	2023-06-02 06:57:24
347	9eb0d040ef	29	0.07	10	2023-06-02 07:31:30	2023-06-02 07:31:30
348	9eb0d040ef	34	-0.28	10	2023-06-02 07:31:58	2023-06-02 07:31:58
349	9eb0d040ef	37	-0.49	10	2023-06-02 07:32:27	2023-06-02 07:32:27
350	9eb0d040ef	31	-0.07	10	2023-06-02 07:32:52	2023-06-02 07:32:52
351	9eb0d040ef	22	0.57	10	2023-06-02 07:33:11	2023-06-02 07:33:11
352	9eb0d040ef	34	-0.28	10	2023-06-02 07:33:41	2023-06-02 07:33:41
353	9eb0d040ef	32	-0.14	10	2023-06-02 07:34:07	2023-06-02 07:34:07
354	9eb0d040ef	34	-0.28	10	2023-06-02 07:34:34	2023-06-02 07:34:34
355	9eb0d040ef	34	-0.28	10	2023-06-02 07:35:01	2023-06-02 07:35:01
356	9eb0d040ef	29	0.07	10	2023-06-02 07:35:25	2023-06-02 07:35:25
357	9eb0d040ef	34	-0.28	10	2023-06-02 07:35:50	2023-06-02 07:35:50
358	9eb0d040ef	23	0.49	10	2023-06-02 07:36:09	2023-06-02 07:36:09
359	9eb0d040ef	33	-0.21	10	2023-06-02 07:36:35	2023-06-02 07:36:35
360	9eb0d040ef	36	-0.42	10	2023-06-02 07:37:00	2023-06-02 07:37:00
361	9eb0d040ef	35	-0.35	10	2023-06-02 07:37:25	2023-06-02 07:37:25
362	9eb0d040ef	23	0.49	10	2023-06-02 07:37:45	2023-06-02 07:37:45
363	9eb0d040ef	24	0.42	10	2023-06-02 07:38:03	2023-06-02 07:38:03
364	9eb0d040ef	22	0.57	10	2023-06-02 07:38:23	2023-06-02 07:38:23
365	9eb0d040ef	28	0.14	10	2023-06-02 07:38:45	2023-06-02 07:38:45
366	9eb0d040ef	27	0.21	10	2023-06-02 07:39:07	2023-06-02 07:39:07
367	9eb0d040ef	25	0.35	10	2023-06-02 07:39:29	2023-06-02 07:39:29
368	9eb0d040ef	29	0.07	10	2023-06-02 07:40:03	2023-06-02 07:40:03
369	9eb0d040ef	26	0.28	10	2023-06-02 07:40:25	2023-06-02 07:40:25
370	9eb0d040ef	40	-0.71	10	2023-06-02 07:41:02	2023-06-02 07:41:02
371	9eb0d040ef	31	-0.07	10	2023-06-02 07:41:25	2023-06-02 07:41:25
372	9eb0d040ef	29	0.07	10	2023-06-02 07:41:48	2023-06-02 07:41:48
373	9eb0d040ef	29	0.07	10	2023-06-02 07:42:12	2023-06-02 07:42:12
374	9eb0d040ef	27	0.21	10	2023-06-02 07:42:34	2023-06-02 07:42:34
375	9eb0d040ef	34	-0.28	10	2023-06-02 07:43:04	2023-06-02 07:43:04
376	9eb0d040ef	23	0.49	10	2023-06-02 07:43:24	2023-06-02 07:43:24
377	9eb0d040ef	31	-0.07	10	2023-06-02 07:43:48	2023-06-02 07:43:48
378	9eb0d040ef	31	-0.07	10	2023-06-02 07:44:12	2023-06-02 07:44:12
379	9eb0d040ef	27	0.21	10	2023-06-02 07:44:33	2023-06-02 07:44:33
380	9eb0d040ef	27	0.21	10	2023-06-02 07:45:01	2023-06-02 07:45:01
381	9eb0d040ef	30	0.00	10	2023-06-02 07:45:24	2023-06-02 07:45:24
382	9eb0d040ef	35	-0.35	10	2023-06-02 07:45:49	2023-06-02 07:45:49
383	9eb0d040ef	32	-0.14	10	2023-06-02 07:46:20	2023-06-02 07:46:20
384	9eb0d040ef	32	-0.14	10	2023-06-02 07:46:47	2023-06-02 07:46:47
385	9eb0d040ef	26	0.28	10	2023-06-02 07:47:09	2023-06-02 07:47:09
386	9eb0d040ef	30	0.00	10	2023-06-02 07:47:41	2023-06-02 07:47:41
387	9eb0d040ef	36	-0.42	10	2023-06-02 07:48:13	2023-06-02 07:48:13
388	9eb0d040ef	20	0.71	10	2023-06-02 07:50:33	2023-06-02 07:50:33
389	9eb0d040ef	33	-0.21	10	2023-06-02 07:51:09	2023-06-02 07:51:09
390	9eb0d040ef	27	0.21	10	2023-06-02 07:51:29	2023-06-02 07:51:29
391	9eb0d040ef	36	-0.42	10	2023-06-02 07:51:54	2023-06-02 07:51:54
392	9eb0d040ef	29	0.07	10	2023-06-02 07:52:17	2023-06-02 07:52:17
393	9eb0d040ef	27	0.21	10	2023-06-02 07:52:38	2023-06-02 07:52:38
394	9eb0d040ef	28	0.14	10	2023-06-02 07:52:58	2023-06-02 07:52:58
395	9eb0d040ef	28	0.14	10	2023-06-02 07:53:21	2023-06-02 07:53:21
396	9eb0d040ef	24	0.42	10	2023-06-02 07:53:52	2023-06-02 07:53:52
397	9eb0d040ef	26	0.28	10	2023-06-02 07:54:28	2023-06-02 07:54:28
398	9eb0d040ef	28	0.14	10	2023-06-02 07:54:57	2023-06-02 07:54:57
399	9eb0d040ef	30	0.00	10	2023-06-02 07:55:26	2023-06-02 07:55:26
400	9eb0d040ef	33	-0.21	10	2023-06-02 07:55:51	2023-06-02 07:55:51
401	9eb0d040ef	37	-0.49	10	2023-06-02 07:56:17	2023-06-02 07:56:17
402	9eb0d040ef	27	0.21	10	2023-06-02 07:56:39	2023-06-02 07:56:39
403	9eb0d040ef	27	0.21	10	2023-06-02 07:56:59	2023-06-02 07:56:59
404	9eb0d040ef	20	0.71	10	2023-06-02 07:57:17	2023-06-02 07:57:17
405	9eb0d040ef	30	0.00	10	2023-06-02 07:57:49	2023-06-02 07:57:49
406	9eb0d040ef	26	0.28	10	2023-06-02 07:58:10	2023-06-02 07:58:10
407	9eb0d040ef	24	0.42	10	2023-06-02 07:58:37	2023-06-02 07:58:37
408	9eb0d040ef	35	-0.35	10	2023-06-02 07:59:10	2023-06-02 07:59:10
409	9eb0d040ef	36	-0.42	10	2023-06-02 07:59:35	2023-06-02 07:59:35
410	9eb0d040ef	17	0.92	10	2023-06-02 07:59:52	2023-06-02 07:59:52
411	9eb0d040ef	31	-0.07	10	2023-06-02 08:21:04	2023-06-02 08:21:04
412	9eb0d040ef	33	-0.21	10	2023-06-02 08:21:29	2023-06-02 08:21:29
413	9eb0d040ef	36	-0.42	10	2023-06-02 08:21:55	2023-06-02 08:21:55
414	9eb0d040ef	41	-0.78	10	2023-06-02 08:22:24	2023-06-02 08:22:24
415	9eb0d040ef	23	0.49	10	2023-06-02 08:22:44	2023-06-02 08:22:44
416	9eb0d040ef	30	0.00	10	2023-06-02 08:23:06	2023-06-02 08:23:06
417	9eb0d040ef	35	-0.35	10	2023-06-02 08:23:34	2023-06-02 08:23:34
418	9eb0d040ef	33	-0.21	10	2023-06-02 08:23:57	2023-06-02 08:23:57
419	9eb0d040ef	29	0.07	10	2023-06-02 08:24:20	2023-06-02 08:24:20
420	9eb0d040ef	33	-0.21	10	2023-06-02 08:24:44	2023-06-02 08:24:44
421	9eb0d040ef	33	-0.21	10	2023-06-02 08:25:09	2023-06-02 08:25:09
422	9eb0d040ef	28	0.14	10	2023-06-02 08:25:31	2023-06-02 08:25:31
423	9eb0d040ef	33	-0.21	10	2023-06-02 08:25:57	2023-06-02 08:25:57
424	9eb0d040ef	31	-0.07	10	2023-06-02 08:26:21	2023-06-02 08:26:21
425	9eb0d040ef	29	0.07	10	2023-06-02 08:26:43	2023-06-02 08:26:43
426	9eb0d040ef	26	0.28	10	2023-06-02 08:27:04	2023-06-02 08:27:04
427	9eb0d040ef	23	0.49	10	2023-06-02 08:27:22	2023-06-02 08:27:22
428	9eb0d040ef	34	-0.28	10	2023-06-02 08:27:45	2023-06-02 08:27:45
429	9eb0d040ef	30	0.00	10	2023-06-02 08:28:07	2023-06-02 08:28:07
430	9eb0d040ef	36	-0.42	10	2023-06-02 08:28:32	2023-06-02 08:28:32
431	9eb0d040ef	34	-0.28	10	2023-06-02 08:28:56	2023-06-02 08:28:56
432	9eb0d040ef	29	0.07	10	2023-06-02 08:29:17	2023-06-02 08:29:17
433	9eb0d040ef	31	-0.07	10	2023-06-02 08:29:41	2023-06-02 08:29:41
434	9eb0d040ef	34	-0.28	10	2023-06-02 08:30:04	2023-06-02 08:30:04
435	9eb0d040ef	24	0.42	10	2023-06-02 08:30:24	2023-06-02 08:30:24
436	9eb0d040ef	29	0.07	10	2023-06-02 08:30:47	2023-06-02 08:30:47
437	9eb0d040ef	28	0.14	10	2023-06-02 08:31:09	2023-06-02 08:31:09
438	9eb0d040ef	26	0.28	10	2023-06-02 08:31:28	2023-06-02 08:31:28
439	9eb0d040ef	25	0.35	10	2023-06-02 08:31:57	2023-06-02 08:31:57
440	9eb0d040ef	30	0.00	10	2023-06-02 08:32:21	2023-06-02 08:32:21
441	9eb0d040ef	33	-0.21	10	2023-06-02 08:32:46	2023-06-02 08:32:46
442	9eb0d040ef	28	0.14	10	2023-06-02 08:33:07	2023-06-02 08:33:07
443	9eb0d040ef	39	-0.64	10	2023-06-02 08:33:37	2023-06-02 08:33:37
444	9eb0d040ef	27	0.21	10	2023-06-02 08:33:57	2023-06-02 08:33:57
445	9eb0d040ef	30	0.00	10	2023-06-02 08:34:22	2023-06-02 08:34:22
446	9eb0d040ef	34	-0.28	10	2023-06-02 08:34:47	2023-06-02 08:34:47
447	9eb0d040ef	36	-0.42	10	2023-06-02 08:35:16	2023-06-02 08:35:16
448	9eb0d040ef	24	0.42	10	2023-06-02 08:35:38	2023-06-02 08:35:38
449	9eb0d040ef	33	-0.21	10	2023-06-02 08:36:04	2023-06-02 08:36:04
450	9eb0d040ef	33	-0.21	10	2023-06-02 08:36:28	2023-06-02 08:36:28
451	9eb0d040ef	19	0.78	10	2023-06-02 08:36:46	2023-06-02 08:36:46
452	9eb0d040ef	24	0.42	10	2023-06-02 08:37:12	2023-06-02 08:37:12
453	9eb0d040ef	29	0.07	10	2023-06-02 08:37:43	2023-06-02 08:37:43
454	9eb0d040ef	22	0.57	10	2023-06-02 08:38:02	2023-06-02 08:38:02
455	9eb0d040ef	22	0.57	10	2023-06-02 08:38:29	2023-06-02 08:38:29
456	9eb0d040ef	35	-0.35	10	2023-06-02 08:39:02	2023-06-02 08:39:02
457	9eb0d040ef	33	-0.21	10	2023-06-02 08:39:27	2023-06-02 08:39:27
458	9eb0d040ef	25	0.35	10	2023-06-02 08:39:50	2023-06-02 08:39:50
459	9eb0d040ef	28	0.14	10	2023-06-02 08:40:12	2023-06-02 08:40:12
460	9eb0d040ef	26	0.28	10	2023-06-02 08:40:33	2023-06-02 08:40:33
461	9eb0d040ef	24	0.42	10	2023-06-02 08:40:53	2023-06-02 08:40:53
462	9eb0d040ef	39	-0.64	10	2023-06-02 08:41:30	2023-06-02 08:41:30
463	9eb0d040ef	34	-0.28	10	2023-06-02 08:41:55	2023-06-02 08:41:55
464	9eb0d040ef	33	-0.21	10	2023-06-02 08:42:20	2023-06-02 08:42:20
465	9eb0d040ef	21	0.64	10	2023-06-02 08:42:39	2023-06-02 08:42:39
466	9eb0d040ef	24	0.42	10	2023-06-02 08:43:03	2023-06-02 08:43:03
467	9eb0d040ef	29	0.07	10	2023-06-02 08:43:41	2023-06-02 08:43:41
468	9eb0d040ef	31	-0.07	10	2023-06-02 08:44:05	2023-06-02 08:44:05
469	9eb0d040ef	32	-0.14	10	2023-06-02 08:44:37	2023-06-02 08:44:37
470	9eb0d040ef	24	0.42	10	2023-06-02 08:44:56	2023-06-02 08:44:56
471	9eb0d040ef	38	-0.57	10	2023-06-02 08:45:32	2023-06-02 08:45:32
472	9eb0d040ef	29	0.07	10	2023-06-02 08:45:55	2023-06-02 08:45:55
473	9eb0d040ef	30	0.00	10	2023-06-02 08:46:19	2023-06-02 08:46:19
474	9eb0d040ef	23	0.49	10	2023-06-02 08:46:38	2023-06-02 08:46:38
475	9eb0d040ef	35	-0.35	10	2023-06-02 08:47:12	2023-06-02 08:47:12
476	9eb0d040ef	30	0.00	10	2023-06-02 08:47:36	2023-06-02 08:47:36
477	9eb0d040ef	30	0.00	10	2023-06-02 08:47:58	2023-06-02 08:47:58
478	9eb0d040ef	23	0.49	10	2023-06-02 09:37:48	2023-06-02 09:37:48
479	9eb0d040ef	25	0.35	10	2023-06-02 09:38:23	2023-06-02 09:38:23
480	9eb0d040ef	36	-0.42	10	2023-06-02 09:39:05	2023-06-02 09:39:05
481	9eb0d040ef	32	-0.14	10	2023-06-02 09:39:30	2023-06-02 09:39:30
482	9eb0d040ef	34	-0.28	10	2023-06-02 09:39:55	2023-06-02 09:39:55
483	9eb0d040ef	28	0.14	10	2023-06-02 09:40:19	2023-06-02 09:40:19
484	9eb0d040ef	21	0.64	10	2023-06-02 09:40:38	2023-06-02 09:40:38
485	9eb0d040ef	28	0.14	10	2023-06-02 09:41:12	2023-06-02 09:41:12
486	9eb0d040ef	35	-0.35	10	2023-06-02 09:41:47	2023-06-02 09:41:47
487	9eb0d040ef	24	0.42	10	2023-06-02 09:42:06	2023-06-02 09:42:06
488	9eb0d040ef	23	0.49	10	2023-06-02 09:42:32	2023-06-02 09:42:32
489	9eb0d040ef	25	0.35	10	2023-06-02 09:43:16	2023-06-02 09:43:16
490	9eb0d040ef	30	0.00	10	2023-06-02 09:43:56	2023-06-02 09:43:56
491	9eb0d040ef	30	0.00	10	2023-06-02 09:44:20	2023-06-02 09:44:20
492	9eb0d040ef	31	-0.07	10	2023-06-02 09:44:43	2023-06-02 09:44:43
493	9eb0d040ef	29	0.07	10	2023-06-02 09:55:56	2023-06-02 09:55:56
494	9eb0d040ef	29	0.07	10	2023-06-02 09:56:20	2023-06-02 09:56:20
495	9eb0d040ef	35	-0.35	10	2023-06-02 09:56:47	2023-06-02 09:56:47
496	9eb0d040ef	28	0.14	10	2023-06-02 09:57:10	2023-06-02 09:57:10
497	9eb0d040ef	30	0.00	10	2023-06-02 09:57:34	2023-06-02 09:57:34
498	9eb0d040ef	32	-0.14	10	2023-06-02 09:57:58	2023-06-02 09:57:58
499	9eb0d040ef	26	0.28	10	2023-06-02 09:58:19	2023-06-02 09:58:19
500	9eb0d040ef	33	-0.21	10	2023-06-02 09:58:44	2023-06-02 09:58:44
501	9eb0d040ef	30	0.00	10	2023-06-02 09:59:09	2023-06-02 09:59:09
502	9eb0d040ef	27	0.21	10	2023-06-02 09:59:31	2023-06-02 09:59:31
503	9eb0d040ef	31	-0.07	10	2023-06-02 09:59:54	2023-06-02 09:59:54
504	9eb0d040ef	28	0.14	10	2023-06-02 10:00:17	2023-06-02 10:00:17
505	9eb0d040ef	30	0.00	10	2023-06-02 10:00:40	2023-06-02 10:00:40
506	9eb0d040ef	31	-0.07	10	2023-06-02 10:01:04	2023-06-02 10:01:04
507	9eb0d040ef	35	-0.35	10	2023-06-02 10:01:28	2023-06-02 10:01:28
508	9eb0d040ef	28	0.14	10	2023-06-02 10:01:50	2023-06-02 10:01:50
509	9eb0d040ef	39	-0.64	10	2023-06-02 10:02:19	2023-06-02 10:02:19
510	9eb0d040ef	25	0.35	10	2023-06-02 10:02:41	2023-06-02 10:02:41
511	9eb0d040ef	29	0.07	10	2023-06-02 10:03:02	2023-06-02 10:03:02
512	9eb0d040ef	31	-0.07	10	2023-06-02 10:03:24	2023-06-02 10:03:24
513	9eb0d040ef	33	-0.21	10	2023-06-02 10:03:48	2023-06-02 10:03:48
514	9eb0d040ef	36	-0.42	10	2023-06-02 10:04:18	2023-06-02 10:04:18
515	9eb0d040ef	36	-0.42	10	2023-06-02 10:04:46	2023-06-02 10:04:46
516	9eb0d040ef	30	0.00	10	2023-06-02 10:05:09	2023-06-02 10:05:09
517	9eb0d040ef	26	0.28	10	2023-06-02 10:05:28	2023-06-02 10:05:28
518	9eb0d040ef	33	-0.21	10	2023-06-02 10:05:53	2023-06-02 10:05:53
519	9eb0d040ef	30	0.00	10	2023-06-02 10:06:17	2023-06-02 10:06:17
520	9eb0d040ef	30	0.00	10	2023-06-02 10:06:43	2023-06-02 10:06:43
521	9eb0d040ef	30	0.00	10	2023-06-02 10:07:06	2023-06-02 10:07:06
522	9eb0d040ef	30	0.00	10	2023-06-02 10:07:29	2023-06-02 10:07:29
523	9eb0d040ef	35	-0.35	10	2023-06-02 10:07:55	2023-06-02 10:07:55
524	9eb0d040ef	31	-0.07	10	2023-06-02 10:08:18	2023-06-02 10:08:18
525	9eb0d040ef	28	0.14	10	2023-06-02 10:08:55	2023-06-02 10:08:55
526	9eb0d040ef	32	-0.14	10	2023-06-02 10:09:22	2023-06-02 10:09:22
527	9eb0d040ef	23	0.49	10	2023-06-02 10:09:41	2023-06-02 10:09:41
528	9eb0d040ef	38	-0.57	10	2023-06-02 10:10:14	2023-06-02 10:10:14
529	9eb0d040ef	35	-0.35	10	2023-06-02 10:10:37	2023-06-02 10:10:37
530	9eb0d040ef	30	0.00	10	2023-06-02 10:11:00	2023-06-02 10:11:00
531	9eb0d040ef	30	0.00	10	2023-06-02 10:11:24	2023-06-02 10:11:24
532	9eb0d040ef	23	0.49	10	2023-06-02 10:11:43	2023-06-02 10:11:43
533	9eb0d040ef	22	0.57	10	2023-06-02 10:12:04	2023-06-02 10:12:04
534	9eb0d040ef	35	-0.35	10	2023-06-02 10:12:35	2023-06-02 10:12:35
535	9eb0d040ef	27	0.21	10	2023-06-02 10:12:56	2023-06-02 10:12:56
536	9eb0d040ef	24	0.42	10	2023-06-02 10:13:14	2023-06-02 10:13:14
537	9eb0d040ef	34	-0.28	10	2023-06-02 10:13:39	2023-06-02 10:13:39
538	9eb0d040ef	31	-0.07	10	2023-06-02 10:14:01	2023-06-02 10:14:01
539	9eb0d040ef	30	0.00	10	2023-06-02 10:14:24	2023-06-02 10:14:24
540	9eb0d040ef	37	-0.49	10	2023-06-02 10:14:57	2023-06-02 10:14:57
541	9eb0d040ef	26	0.28	10	2023-06-02 10:15:17	2023-06-02 10:15:17
542	9eb0d040ef	32	-0.14	10	2023-06-02 10:15:42	2023-06-02 10:15:42
543	9eb0d040ef	23	0.49	10	2023-06-02 10:16:02	2023-06-02 10:16:02
544	9eb0d040ef	26	0.28	10	2023-06-02 10:16:23	2023-06-02 10:16:23
545	9eb0d040ef	39	-0.64	10	2023-06-02 10:17:00	2023-06-02 10:17:00
546	9eb0d040ef	28	0.14	10	2023-06-02 10:17:24	2023-06-02 10:17:24
547	9eb0d040ef	31	-0.07	10	2023-06-02 10:17:49	2023-06-02 10:17:49
548	9eb0d040ef	35	-0.35	10	2023-06-02 10:18:15	2023-06-02 10:18:15
549	9eb0d040ef	37	-0.49	10	2023-06-02 10:18:45	2023-06-02 10:18:45
550	9eb0d040ef	32	-0.14	10	2023-06-02 10:19:09	2023-06-02 10:19:09
551	9eb0d040ef	36	-0.42	10	2023-06-02 10:19:36	2023-06-02 10:19:36
552	9eb0d040ef	35	-0.35	10	2023-06-02 10:20:03	2023-06-02 10:20:03
553	9eb0d040ef	36	-0.42	10	2023-06-02 10:20:31	2023-06-02 10:20:31
554	9eb0d040ef	28	0.14	10	2023-06-02 10:20:56	2023-06-02 10:20:56
555	9eb0d040ef	35	-0.35	10	2023-06-02 10:21:23	2023-06-02 10:21:23
556	9eb0d040ef	34	-0.28	10	2023-06-02 10:36:15	2023-06-02 10:36:15
557	9eb0d040ef	26	0.28	10	2023-06-02 10:36:36	2023-06-02 10:36:36
558	9eb0d040ef	37	-0.49	10	2023-06-02 10:37:04	2023-06-02 10:37:04
559	9eb0d040ef	26	0.28	10	2023-06-02 10:37:24	2023-06-02 10:37:24
560	9eb0d040ef	33	-0.21	10	2023-06-02 10:37:49	2023-06-02 10:37:49
561	9eb0d040ef	27	0.21	10	2023-06-02 10:38:10	2023-06-02 10:38:10
562	9eb0d040ef	31	-0.07	10	2023-06-02 10:38:33	2023-06-02 10:38:33
563	9eb0d040ef	26	0.28	10	2023-06-02 10:38:54	2023-06-02 10:38:54
564	9eb0d040ef	32	-0.14	10	2023-06-02 10:39:20	2023-06-02 10:39:20
565	9eb0d040ef	31	-0.07	10	2023-06-02 10:39:44	2023-06-02 10:39:44
566	9eb0d040ef	37	-0.49	10	2023-06-02 10:40:11	2023-06-02 10:40:11
567	9eb0d040ef	25	0.35	10	2023-06-02 10:40:32	2023-06-02 10:40:32
568	9eb0d040ef	34	-0.28	10	2023-06-02 10:40:55	2023-06-02 10:40:55
569	9eb0d040ef	28	0.14	10	2023-06-02 10:41:16	2023-06-02 10:41:16
570	9eb0d040ef	26	0.28	10	2023-06-02 10:41:37	2023-06-02 10:41:37
571	9eb0d040ef	34	-0.28	10	2023-06-02 10:42:02	2023-06-02 10:42:02
572	9eb0d040ef	32	-0.14	10	2023-06-02 10:42:27	2023-06-02 10:42:27
573	9eb0d040ef	29	0.07	10	2023-06-02 10:42:48	2023-06-02 10:42:48
574	9eb0d040ef	22	0.57	10	2023-06-02 10:43:07	2023-06-02 10:43:07
575	9eb0d040ef	31	-0.07	10	2023-06-02 10:43:33	2023-06-02 10:43:33
576	9eb0d040ef	32	-0.14	10	2023-06-02 10:43:58	2023-06-02 10:43:58
577	9eb0d040ef	29	0.07	10	2023-06-02 10:44:20	2023-06-02 10:44:20
578	9eb0d040ef	33	-0.21	10	2023-06-02 10:44:46	2023-06-02 10:44:46
579	9eb0d040ef	29	0.07	10	2023-06-02 10:45:07	2023-06-02 10:45:07
580	9eb0d040ef	32	-0.14	10	2023-06-02 10:45:31	2023-06-02 10:45:31
581	9eb0d040ef	27	0.21	10	2023-06-02 10:45:53	2023-06-02 10:45:53
582	9eb0d040ef	22	0.57	10	2023-06-02 10:46:12	2023-06-02 10:46:12
583	9eb0d040ef	29	0.07	10	2023-06-02 10:46:47	2023-06-02 10:46:47
584	9eb0d040ef	27	0.21	10	2023-06-02 10:47:11	2023-06-02 10:47:11
585	9eb0d040ef	31	-0.07	10	2023-06-02 10:47:39	2023-06-02 10:47:39
586	9eb0d040ef	33	-0.21	10	2023-06-02 10:48:04	2023-06-02 10:48:04
587	9eb0d040ef	27	0.21	10	2023-06-02 10:48:25	2023-06-02 10:48:25
588	9eb0d040ef	31	-0.07	10	2023-06-02 10:48:49	2023-06-02 10:48:49
589	9eb0d040ef	33	-0.21	10	2023-06-02 10:49:16	2023-06-02 10:49:16
590	9eb0d040ef	35	-0.35	10	2023-06-02 10:49:43	2023-06-02 10:49:43
591	9eb0d040ef	20	0.71	10	2023-06-02 10:50:02	2023-06-02 10:50:02
592	9eb0d040ef	27	0.21	10	2023-06-02 10:50:25	2023-06-02 10:50:25
593	9eb0d040ef	32	-0.14	10	2023-06-02 10:50:49	2023-06-02 10:50:49
594	9eb0d040ef	37	-0.49	10	2023-06-02 10:51:17	2023-06-02 10:51:17
595	9eb0d040ef	29	0.07	10	2023-06-02 10:51:45	2023-06-02 10:51:45
596	9eb0d040ef	30	0.00	10	2023-06-02 10:52:12	2023-06-02 10:52:12
597	9eb0d040ef	31	-0.07	10	2023-06-02 10:52:37	2023-06-02 10:52:37
598	9eb0d040ef	19	0.78	10	2023-06-02 10:52:54	2023-06-02 10:52:54
599	9eb0d040ef	25	0.35	10	2023-06-02 10:53:22	2023-06-02 10:53:22
600	9eb0d040ef	35	-0.35	10	2023-06-02 10:53:48	2023-06-02 10:53:48
601	9eb0d040ef	29	0.07	10	2023-06-02 10:54:10	2023-06-02 10:54:10
602	9eb0d040ef	34	-0.28	10	2023-06-02 10:54:36	2023-06-02 10:54:36
603	9eb0d040ef	25	0.35	10	2023-06-02 10:54:59	2023-06-02 10:54:59
604	9eb0d040ef	27	0.21	10	2023-06-02 10:55:19	2023-06-02 10:55:19
605	9eb0d040ef	31	-0.07	10	2023-06-02 10:55:44	2023-06-02 10:55:44
606	9eb0d040ef	26	0.28	10	2023-06-02 10:56:05	2023-06-02 10:56:05
607	9eb0d040ef	23	0.49	10	2023-06-02 10:56:24	2023-06-02 10:56:24
608	9eb0d040ef	26	0.28	10	2023-06-02 10:56:55	2023-06-02 10:56:55
609	9eb0d040ef	34	-0.28	10	2023-06-02 10:57:23	2023-06-02 10:57:23
610	9eb0d040ef	33	-0.21	10	2023-06-02 10:57:47	2023-06-02 10:57:47
611	9eb0d040ef	33	-0.21	10	2023-06-02 10:58:12	2023-06-02 10:58:12
612	9eb0d040ef	38	-0.57	10	2023-06-02 10:58:41	2023-06-02 10:58:41
613	9eb0d040ef	27	0.21	10	2023-06-02 10:59:00	2023-06-02 10:59:00
614	9eb0d040ef	27	0.21	10	2023-06-02 10:59:21	2023-06-02 10:59:21
615	9eb0d040ef	25	0.35	10	2023-06-02 10:59:41	2023-06-02 10:59:41
616	9eb0d040ef	29	0.07	10	2023-06-02 11:00:04	2023-06-02 11:00:04
617	9eb0d040ef	30	0.00	10	2023-06-02 11:00:25	2023-06-02 11:00:25
618	9eb0d040ef	2	1.98	10	2023-06-02 11:00:25	2023-06-02 11:00:25
