id	userid	steps	z	trials	created_at	updated_at
73	52946e67cb	32	-0.14	10	2023-05-17 12:07:26	2023-05-17 12:07:26
74	fff8c30e58	23	0.49	10	2023-05-17 14:59:51	2023-05-17 14:59:51
75	cfa64fd443	25	0.35	10	2023-05-17 21:49:58	2023-05-17 21:49:58
76	1ef651d180	22	0.57	10	2023-05-18 02:47:13	2023-05-18 02:47:13
77	2e46b02c1c	32	-0.14	10	2023-05-18 02:52:27	2023-05-18 02:52:27
78	52946e67cb	37	-0.49	10	2023-05-18 08:45:00	2023-05-18 08:45:00
79	52946e67cb	35	-0.35	10	2023-05-18 08:47:13	2023-05-18 08:47:13
80	52946e67cb	32	-0.14	10	2023-05-18 08:48:48	2023-05-18 08:48:48
81	52946e67cb	25	0.35	10	2023-05-18 08:50:24	2023-05-18 08:50:24
82	52946e67cb	25	0.35	10	2023-05-18 08:51:58	2023-05-18 08:51:58
83	52946e67cb	24	0.42	10	2023-05-18 08:53:30	2023-05-18 08:53:30
84	52946e67cb	30	0.00	10	2023-05-18 08:55:10	2023-05-18 08:55:10
85	52946e67cb	31	-0.07	10	2023-05-18 08:56:21	2023-05-18 08:56:21
86	52946e67cb	29	0.07	10	2023-05-18 08:57:38	2023-05-18 08:57:38
87	52946e67cb	25	0.35	10	2023-05-18 08:58:59	2023-05-18 08:58:59
88	52946e67cb	34	-0.28	10	2023-05-18 09:01:07	2023-05-18 09:01:07
89	52946e67cb	35	-0.35	10	2023-05-18 09:02:29	2023-05-18 09:02:29
90	52946e67cb	32	-0.14	10	2023-05-18 09:03:58	2023-05-18 09:03:58
91	52946e67cb	25	0.35	10	2023-05-18 09:05:25	2023-05-18 09:05:25
92	52946e67cb	26	0.28	10	2023-05-18 09:06:45	2023-05-18 09:06:45
93	52946e67cb	24	0.42	10	2023-05-18 09:08:00	2023-05-18 09:08:00
94	52946e67cb	32	-0.14	10	2023-05-18 09:09:31	2023-05-18 09:09:31
95	52946e67cb	29	0.07	10	2023-05-18 09:10:41	2023-05-18 09:10:41
96	52946e67cb	32	-0.14	10	2023-05-18 09:11:48	2023-05-18 09:11:48
97	52946e67cb	39	-0.64	10	2023-05-18 09:13:09	2023-05-18 09:13:09
98	52946e67cb	25	0.35	10	2023-05-18 09:14:27	2023-05-18 09:14:27
99	52946e67cb	32	-0.14	10	2023-05-18 09:15:52	2023-05-18 09:15:52
100	52946e67cb	26	0.28	10	2023-05-18 09:17:18	2023-05-18 09:17:18
101	52946e67cb	37	-0.49	10	2023-05-18 09:18:38	2023-05-18 09:18:38
102	52946e67cb	26	0.28	10	2023-05-18 09:20:15	2023-05-18 09:20:15
103	52946e67cb	23	0.49	10	2023-05-18 09:21:44	2023-05-18 09:21:44
104	52946e67cb	32	-0.14	10	2023-05-18 09:41:58	2023-05-18 09:41:58
105	52946e67cb	31	-0.07	10	2023-05-18 09:43:19	2023-05-18 09:43:19
106	52946e67cb	35	-0.35	10	2023-05-18 09:44:51	2023-05-18 09:44:51
107	52946e67cb	30	0.00	10	2023-05-18 09:46:27	2023-05-18 09:46:27
108	52946e67cb	27	0.21	10	2023-05-18 09:48:06	2023-05-18 09:48:06
109	52946e67cb	30	0.00	10	2023-05-18 09:49:27	2023-05-18 09:49:27
110	52946e67cb	26	0.28	10	2023-05-18 09:50:54	2023-05-18 09:50:54
111	52946e67cb	35	-0.35	10	2023-05-18 09:52:34	2023-05-18 09:52:34
112	52946e67cb	28	0.14	10	2023-05-18 09:53:49	2023-05-18 09:53:49
113	52946e67cb	29	0.07	10	2023-05-18 09:55:28	2023-05-18 09:55:28
114	52946e67cb	36	-0.42	10	2023-05-18 09:57:01	2023-05-18 09:57:01
115	52946e67cb	27	0.21	10	2023-05-18 09:58:25	2023-05-18 09:58:25
116	52946e67cb	38	-0.57	10	2023-05-18 10:00:02	2023-05-18 10:00:02
117	52946e67cb	33	-0.21	10	2023-05-18 10:01:20	2023-05-18 10:01:20
118	52946e67cb	32	-0.14	10	2023-05-18 10:02:53	2023-05-18 10:02:53
119	52946e67cb	25	0.35	10	2023-05-18 10:04:14	2023-05-18 10:04:14
120	52946e67cb	23	0.49	10	2023-05-18 10:05:31	2023-05-18 10:05:31
121	52946e67cb	37	-0.49	10	2023-05-18 10:07:11	2023-05-18 10:07:11
122	52946e67cb	29	0.07	10	2023-05-18 10:08:49	2023-05-18 10:08:49
123	52946e67cb	31	-0.07	10	2023-05-18 10:10:16	2023-05-18 10:10:16
124	52946e67cb	30	0.00	10	2023-05-18 10:11:52	2023-05-18 10:11:52
125	52946e67cb	31	-0.07	10	2023-05-18 10:13:08	2023-05-18 10:13:08
126	52946e67cb	29	0.07	10	2023-05-18 10:14:22	2023-05-18 10:14:22
127	52946e67cb	36	-0.42	10	2023-05-18 10:15:44	2023-05-18 10:15:44
128	52946e67cb	33	-0.21	10	2023-05-18 10:17:05	2023-05-18 10:17:05
129	52946e67cb	35	-0.35	10	2023-05-18 10:18:35	2023-05-18 10:18:35
130	52946e67cb	23	0.49	10	2023-05-18 10:19:47	2023-05-18 10:19:47
131	52946e67cb	25	0.35	10	2023-05-18 10:21:26	2023-05-18 10:21:26
132	52946e67cb	29	0.07	10	2023-05-18 10:23:12	2023-05-18 10:23:12
133	52946e67cb	22	0.57	10	2023-05-18 10:24:43	2023-05-18 10:24:43
134	52946e67cb	31	-0.07	10	2023-05-18 10:26:52	2023-05-18 10:26:52
135	52946e67cb	34	-0.28	10	2023-05-18 10:28:01	2023-05-18 10:28:01
136	52946e67cb	26	0.28	10	2023-05-18 10:29:19	2023-05-18 10:29:19
137	52946e67cb	31	-0.07	10	2023-05-18 10:30:54	2023-05-18 10:30:54
138	52946e67cb	32	-0.14	10	2023-05-18 10:32:14	2023-05-18 10:32:14
139	52946e67cb	21	0.64	10	2023-05-18 10:33:48	2023-05-18 10:33:48
140	52946e67cb	27	0.21	10	2023-05-18 10:35:48	2023-05-18 10:35:48
141	52946e67cb	35	-0.35	10	2023-05-18 11:04:18	2023-05-18 11:04:18
142	52946e67cb	34	-0.28	10	2023-05-18 11:05:42	2023-05-18 11:05:42
143	52946e67cb	36	-0.42	10	2023-05-18 11:06:52	2023-05-18 11:06:52
144	52946e67cb	34	-0.28	10	2023-05-18 11:08:08	2023-05-18 11:08:08
145	52946e67cb	25	0.35	10	2023-05-18 11:09:10	2023-05-18 11:09:10
146	52946e67cb	33	-0.21	10	2023-05-18 11:10:21	2023-05-18 11:10:21
147	52946e67cb	31	-0.07	10	2023-05-18 11:11:20	2023-05-18 11:11:20
148	52946e67cb	40	-0.71	10	2023-05-18 11:12:37	2023-05-18 11:12:37
149	52946e67cb	29	0.07	10	2023-05-18 11:14:01	2023-05-18 11:14:01
150	52946e67cb	31	-0.07	10	2023-05-18 11:15:29	2023-05-18 11:15:29
151	52946e67cb	1	2.05	10	2023-05-18 11:15:30	2023-05-18 11:15:30
