id	userid	score	bubble_attention_mean	bubble_attention_std	bubble_baseline_mean	bubble_baseline_std	z	trials	created_at	updated_at
1	bf0acaa2bf	0.08	0.16339222621688	0.9673412214669	0.066060601136158	1.1665384133424	0.84	1	2023-04-25 03:20:44	2023-04-25 03:20:44
2	38be251aec	-0.30	-0.2101846375065	0.95946349898017	0.12975556354579	1.147348835087	-0.33	1	2023-05-03 20:44:01	2023-05-03 20:44:01
3	1f455fc030	0.35	0.23616899960877	1.2960681210683	-0.2338930485699	1.3480215948965	-0.46	1	2023-05-04 09:16:15	2023-05-04 09:16:15
4	6fd33b7588	-0.11	-0.29002965482334	0.8812683252919	-0.17885043538988	1.0005326941198	0.65	1	2023-05-05 01:32:35	2023-05-05 01:32:35
5	6fd33b7588	0.01	-0.0097584085214493	0.88701595910048	-0.017018495467019	1.0394335491509	2.13	1	2023-05-08 20:23:48	2023-05-08 20:23:48
6	6fd33b7588	-0.27	0.35075557628615	0.75828501807671	0.7060877145921	1.3336718940348	-0.35	1	2023-05-08 20:33:23	2023-05-08 20:33:23
7	7d2fc7d93b	-0.36	-0.075789878793612	1.0591958222542	0.26303384650185	0.94076924389608	-0.39	1	2023-05-09 03:21:44	2023-05-09 03:21:44
8	6fd33b7588	0.31	0.18693855754526	1.0829471360925	-0.10126232627	0.93343963937691	-0.18	1	2023-05-09 03:22:28	2023-05-09 03:22:28
9	6fd33b7588	0.15	0.24301989132281	1.0292340598599	0.10501613397654	0.93983736757177	0.51	1	2023-05-09 03:23:42	2023-05-09 03:23:42
10	476599a230	-0.10	-0.17430434813035	0.98067809075042	-0.053689915094522	1.2633112659742	0.72	1	2023-05-13 03:12:24	2023-05-13 03:12:24
11	5b84771544	0.16	0.18213527920414	0.64114000822503	-0.025557985436526	1.3082262999378	0.19	1	2023-05-13 03:26:55	2023-05-13 03:26:55
12	2e46b02c1c	-0.20	0.22887679053602	0.9431334437764	0.4684197450541	1.1706428690771	0.07	1	2023-05-13 04:58:54	2023-05-13 04:58:54
13	fbf3589622	0.12	0.28041498138698	0.74555686055182	0.12809189365668	1.2642748000701	0.47	1	2023-05-13 05:03:26	2023-05-13 05:03:26
14	fbf3589622	0.59	0.58555454853831	0.90559808357596	-0.063915884318238	1.0985113292895	-1.42	1	2023-05-13 05:04:13	2023-05-13 05:04:13
15	fbf3589622	0.13	0.0160510067641	0.80006428664554	-0.098552523084503	0.87239753910879	0.53	1	2023-05-13 05:41:38	2023-05-13 05:41:38
16	fbf3589622	-0.84	-0.25396436885568	0.84284716284045	0.26606229179705	0.6201368606716	-1.58	1	2023-05-13 05:42:17	2023-05-13 05:42:17
17	5b84771544	-0.33	-0.058506078254951	1.0314743357702	0.25298243493798	0.95639119239175	-0.30	1	2023-05-13 06:50:29	2023-05-13 06:50:29
18	5b84771544	-0.23	-0.16870669937167	1.0556611128987	0.081695821049283	1.1050273933598	0.04	1	2023-05-13 07:21:29	2023-05-13 07:21:29
19	3e86ab4470	-0.01	-0.0035558999471485	1.089983535605	0.0039018638317515	0.86068377382172	2.12	1	2023-05-13 13:03:12	2023-05-13 13:03:12
20	cfa64fd443	0.42	0.22721215199016	0.86664440195854	-0.16288636117997	0.91993025705613	-0.75	1	2023-05-13 14:40:19	2023-05-13 14:40:19
21	551ffb1b22	0.08	0.38800105525108	1.0912316758415	0.30606606676634	1.0224791542317	0.95	1	2023-05-13 15:18:43	2023-05-13 15:18:43
